rank,gk_name,matches_played,shots_faced,shots_on_target,saves,blocked_shots,save_pct,xg_faced,goals_conceded,goals_prevented,sweeper_actions,claims,punches,total_gk_events,goal_kicks,avg_gk_length,sweeper_per_match,claims_per_match,punches_per_match,goal_kicks_per_match,gp_per_match,xg_per_match,composite_score,z_save_pct,z_goals_prevented,z_sweeper_per_match,z_claims_per_match,z_goals_conceded,z_gp_per_match,z_xg_faced
1,Koen Casteels,4,57,15,14,10,93.33,3.93,1,2.93,5,3,0,65,35,37.2,1.25,0.75,0.0,8.75,0.73,0.98,1.2976,2.0845,1.4051,-0.0812,0.21,1.7159,1.3385,0.6569
2,Unai Simón Mendibil,6,65,17,14,19,82.35,5.94,3,2.94,9,6,3,83,35,46.5,1.5,1.0,0.5,5.83,0.49,0.99,0.9924,1.0186,1.4152,0.2162,0.7509,0.8397,0.8274,-0.1645
3,Fehmi Mert Günok,4,58,19,15,18,78.95,6.19,4,2.19,6,5,3,72,30,47.9,1.5,1.25,0.75,7.5,0.55,1.55,0.7434,0.688,0.9578,0.2162,1.2919,0.4016,0.9501,-0.2663
4,Giorgi Mamardashvili,4,106,36,28,33,77.78,10.39,8,2.39,1,7,5,119,44,53.8,0.25,1.75,1.25,11.0,0.6,2.6,0.4609,0.5745,1.0767,-1.2706,2.3739,-1.3508,1.0533,-1.9751
5,Jan Oblak,4,66,19,14,24,73.68,7.8,5,2.8,3,3,5,77,45,48.9,0.75,0.75,1.25,11.25,0.7,1.95,0.4336,0.1771,1.3272,-0.6759,0.21,-0.0365,1.2708,-0.9204
6,Martin Dúbravka,4,54,17,12,18,70.59,6.19,5,1.19,10,4,8,76,27,56.2,2.5,1.0,2.0,6.75,0.3,1.55,0.3661,-0.1234,0.3454,1.4056,0.7509,-0.0365,0.4183,-0.2646
7,Manuel Neuer,5,45,13,10,13,76.92,4.18,3,1.18,7,3,0,55,18,27.0,1.4,0.6,0.0,3.6,0.24,0.84,0.3523,0.4915,0.3366,0.0972,-0.1146,0.8397,0.2861,0.5559
8,Predrag Rajković,3,27,9,7,6,77.78,2.66,2,0.66,2,4,4,37,17,41.3,0.67,1.33,1.33,5.67,0.22,0.89,0.3392,0.5745,0.0233,-0.775,1.4722,1.2778,0.2556,1.1725
9,Anatolii Trubin,2,26,9,8,9,88.89,1.38,1,0.38,1,0,1,28,14,50.0,0.5,0.0,0.5,7.0,0.19,0.69,0.3281,1.6531,-0.1489,-0.9733,-1.413,1.7159,0.1904,1.6949
10,Mike Maignan,6,54,21,15,16,71.43,7.99,6,1.99,10,3,4,72,22,30.3,1.67,0.5,0.67,3.67,0.33,1.33,0.2612,-0.0419,0.8348,0.4144,-0.331,-0.4746,0.4915,-0.9988
11,Jindřich Staněk,3,24,9,7,8,77.78,3.02,2,1.02,1,1,2,42,24,53.9,0.33,0.33,0.67,8.0,0.34,1.01,0.1391,0.5745,0.2398,-1.1715,-0.6917,1.2778,0.5062,1.0279
12,Gianluigi Donnarumma,4,50,17,13,15,76.47,4.15,4,0.15,7,1,2,60,17,26.3,1.75,0.25,0.5,4.25,0.04,1.04,0.0639,0.4476,-0.2868,0.5135,-0.872,0.4016,-0.1305,0.5649
13,Thomas Strakosha,3,54,15,11,17,73.33,4.26,4,0.26,3,2,4,64,28,56.3,1.0,0.67,1.33,9.33,0.09,1.42,-0.0485,0.143,-0.2221,-0.3785,0.0296,0.4016,-0.0285,0.5217
14,Kasper Schmeichel,4,43,16,12,5,75.0,4.69,4,0.69,2,1,1,47,23,51.0,0.5,0.25,0.25,5.75,0.17,1.17,-0.0875,0.3048,0.0402,-0.9733,-0.872,0.4016,0.1533,0.3466
15,Diogo Meireles Costa,5,61,22,14,15,63.64,10.49,8,2.49,6,0,2,69,30,29.3,1.2,0.0,0.4,6.0,0.5,2.1,-0.1387,-0.7983,1.1379,-0.1407,-1.413,-1.3508,0.8427,-2.016
16,Bart Verbruggen,6,65,24,18,16,75.0,5.87,6,-0.13,5,4,4,79,23,42.6,0.83,0.67,0.67,3.83,-0.02,0.98,-0.2001,0.3048,-0.4587,-0.5768,0.0296,-0.4746,-0.2572,-0.1349
17,Florin Constantin Niţă,4,70,21,15,19,71.43,5.66,6,-0.34,5,4,4,85,47,55.5,1.25,1.0,1.0,11.75,-0.08,1.42,-0.2029,-0.0419,-0.5879,-0.0812,0.7509,-0.4746,-0.392,-0.0486
18,Patrick Pentz,4,46,11,6,16,54.55,5.74,5,0.74,7,4,1,59,15,38.7,1.75,1.0,0.25,3.75,0.18,1.43,-0.3321,-1.6808,0.0677,0.5135,0.7509,-0.0365,0.1773,-0.0792
19,Jordan Pickford,7,78,28,19,21,67.86,9.23,9,0.23,4,4,5,91,51,54.3,0.57,0.57,0.71,7.29,0.03,1.32,-0.5295,-0.3886,-0.2376,-0.8883,-0.1765,-1.7889,-0.1411,-1.5046
20,Péter Gulácsi,3,38,14,9,13,64.29,3.76,5,-1.24,6,1,4,49,15,38.2,2.0,0.33,1.33,5.0,-0.41,1.25,-0.5691,-0.7352,-1.1352,0.8109,-0.6917,-0.0365,-1.0854,0.7242
21,Angus Gunn,3,45,20,13,8,65.0,3.84,7,-3.16,11,2,1,59,22,68.6,3.67,0.67,0.33,7.33,-1.05,1.28,-0.6778,-0.6659,-2.3105,2.7933,0.0296,-0.9127,-2.4461,0.6946
